#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 7.104139e+00  7.361849e+00  2.577105e-01  1.687603e-01
 8.202624e+00  8.320242e+00  1.176179e-01  1.556466e-01
 9.855332e+00  9.985800e+00  1.304683e-01  1.405982e-01
 1.159126e+01  1.184321e+01  2.519468e-01  0.000000e+00
 1.278368e+01  1.317167e+01  3.879876e-01  0.000000e+00
 1.279677e+01  1.321121e+01  4.144445e-01  0.000000e+00
 1.133485e+01  1.161711e+01  2.822543e-01  0.000000e+00
 8.703144e+00  8.828029e+00  1.248850e-01  1.505946e-01
 5.591281e+00  5.620926e+00  2.964432e-02  1.936239e-01
 2.727445e+00  2.709217e+00 -1.822823e-02  2.970820e-01
 7.216445e-01  7.121074e-01 -9.537061e-03  4.197184e-01
 0.000000e+00  0.000000e+00  0.000000e+00  4.197184e-01
 7.216463e-01  7.120656e-01 -9.580684e-03  4.197184e-01
 2.727448e+00  2.709199e+00 -1.824851e-02  2.970818e-01
 5.591291e+00  5.620891e+00  2.960029e-02  1.936237e-01
 8.703141e+00  8.827988e+00  1.248470e-01  1.505947e-01
 1.133485e+01  1.161717e+01  2.823136e-01  0.000000e+00
 1.279677e+01  1.321123e+01  4.144634e-01  0.000000e+00
 1.278368e+01  1.317170e+01  3.880183e-01  0.000000e+00
 1.159127e+01  1.184344e+01  2.521788e-01  0.000000e+00
 9.855331e+00  9.985832e+00  1.305006e-01  1.405982e-01
 8.202624e+00  8.320221e+00  1.175968e-01  1.556466e-01
 7.104138e+00  7.361892e+00  2.577535e-01  1.687603e-01
 6.844752e+00  7.372677e+00  5.279245e-01  1.723623e-01
