#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 7.104137e+00  7.362374e+00  2.582365e-01  1.687603e-01
 8.202623e+00  8.320943e+00  1.183199e-01  1.556466e-01
 9.855330e+00  9.986629e+00  1.312989e-01  1.405982e-01
 1.159126e+01  1.184415e+01  2.528870e-01  0.000000e+00
 1.278368e+01  1.317228e+01  3.886046e-01  0.000000e+00
 1.279677e+01  1.321148e+01  4.147118e-01  0.000000e+00
 1.133485e+01  1.161699e+01  2.821375e-01  0.000000e+00
 8.703143e+00  8.827680e+00  1.245368e-01  1.505946e-01
 5.591278e+00  5.620570e+00  2.929262e-02  1.936239e-01
 2.727443e+00  2.709011e+00 -1.843200e-02  2.970821e-01
 7.216439e-01  7.120354e-01 -9.608513e-03  4.197183e-01
 0.000000e+00  0.000000e+00  0.000000e+00  4.197183e-01
 7.216457e-01  7.119932e-01 -9.652501e-03  4.197183e-01
 2.727446e+00  2.708994e+00 -1.845214e-02  2.970819e-01
 5.591287e+00  5.620538e+00  2.925089e-02  1.936237e-01
 8.703141e+00  8.827644e+00  1.245035e-01  1.505946e-01
 1.133485e+01  1.161702e+01  2.821670e-01  0.000000e+00
 1.279677e+01  1.321150e+01  4.147331e-01  0.000000e+00
 1.278368e+01  1.317231e+01  3.886323e-01  0.000000e+00
 1.159126e+01  1.184440e+01  2.531341e-01  0.000000e+00
 9.855330e+00  9.986661e+00  1.313305e-01  1.405982e-01
 8.202623e+00  8.320924e+00  1.183013e-01  1.556466e-01
 7.104137e+00  7.362433e+00  2.582967e-01  1.687603e-01
 6.844753e+00  7.373170e+00  5.284172e-01  1.723623e-01
