#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.582959e+00 -6.280393e-01  1.256423e-01
 5.032699e+00  4.499892e+00 -5.328076e-01  1.282354e-01
 4.484341e+00  4.155613e+00 -3.287280e-01  1.372875e-01
 3.447222e+00  3.413760e+00 -3.346162e-02  1.607618e-01
 2.084373e+00  2.310827e+00  2.264541e-01  2.152172e-01
 7.998389e-01  1.046546e+00  2.467069e-01  2.613876e-01
 1.940412e-02  1.574376e-01  1.380335e-01  2.613876e-01
 2.921057e-05 -2.174087e-02 -2.177008e-02  2.613876e-01
 7.285975e-01  7.009689e-01 -2.762860e-02  2.613876e-01
 1.889364e+00  1.900342e+00  1.097799e-02  2.259503e-01
 2.942955e+00  3.047472e+00  1.045166e-01  1.768235e-01
 3.366410e+00  3.525444e+00  1.590339e-01  1.630800e-01
 2.942955e+00  3.047542e+00  1.045869e-01  1.768235e-01
 1.889362e+00  1.899585e+00  1.022308e-02  2.259504e-01
 7.285884e-01  6.997883e-01 -2.880009e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.576197e-01  1.382150e-01  2.613876e-01
 7.998387e-01  1.046772e+00  2.469335e-01  2.613876e-01
 2.084374e+00  2.311031e+00  2.266577e-01  2.152171e-01
 3.447223e+00  3.413801e+00 -3.342187e-02  1.607617e-01
 4.484344e+00  4.155070e+00 -3.292737e-01  1.372874e-01
 5.032698e+00  4.499808e+00 -5.328901e-01  1.282354e-01
 5.210998e+00  4.582857e+00 -6.281404e-01  1.256423e-01
 5.236732e+00  4.586844e+00 -6.498880e-01  1.252804e-01
