#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  2.496697e+00 -2.714301e+00  1.256423e-01
 5.032699e+00  3.549083e+00 -1.483617e+00  1.282354e-01
 4.484341e+00  4.494873e+00  1.053224e-02  1.372875e-01
 3.447222e+00  4.592680e+00  1.145458e+00  1.607618e-01
 2.084373e+00  3.641103e+00  1.556730e+00  2.152172e-01
 7.998389e-01  2.063767e+00  1.263928e+00  2.613876e-01
 1.940412e-02  6.836484e-01  6.642443e-01  2.613876e-01
 2.921057e-05 -2.182033e-02 -2.184954e-02  2.613876e-01
 7.285975e-01  1.987673e-01 -5.298302e-01  2.613876e-01
 1.889364e+00  9.727175e-01 -9.166463e-01  2.259503e-01
 2.942955e+00  1.829831e+00 -1.113124e+00  1.768235e-01
 3.366410e+00  2.203508e+00 -1.162902e+00  1.630800e-01
 2.942955e+00  1.829902e+00 -1.113054e+00  1.768235e-01
 1.889362e+00  9.719620e-01 -9.174000e-01  2.259504e-01
 7.285884e-01  1.975854e-01 -5.310031e-01  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  6.838306e-01  6.644259e-01  2.613876e-01
 7.998387e-01  2.063993e+00  1.264155e+00  2.613876e-01
 2.084374e+00  3.641307e+00  1.556933e+00  2.152171e-01
 3.447223e+00  4.592722e+00  1.145499e+00  1.607617e-01
 4.484344e+00  4.494333e+00  9.988811e-03  1.372874e-01
 5.032698e+00  3.548997e+00 -1.483701e+00  1.282354e-01
 5.210998e+00  2.496592e+00 -2.714406e+00  1.256423e-01
 5.236732e+00  2.054798e+00 -3.181934e+00  1.252804e-01
