#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.577740e+00 -6.332582e-01  1.256423e-01
 5.032699e+00  4.499209e+00 -5.334906e-01  1.282354e-01
 4.484341e+00  4.157931e+00 -3.264094e-01  1.372875e-01
 3.447222e+00  3.414511e+00 -3.271105e-02  1.607618e-01
 2.084373e+00  2.307150e+00  2.227770e-01  2.152172e-01
 7.998389e-01  1.040542e+00  2.407035e-01  2.613876e-01
 1.940412e-02  1.534312e-01  1.340271e-01  2.613876e-01
 2.921057e-05 -2.174208e-02 -2.177129e-02  2.613876e-01
 7.285975e-01  7.029934e-01 -2.560411e-02  2.613876e-01
 1.889364e+00  1.900238e+00  1.087444e-02  2.259503e-01
 2.942955e+00  3.042824e+00  9.986853e-02  1.768235e-01
 3.366410e+00  3.518417e+00  1.520069e-01  1.630800e-01
 2.942955e+00  3.042894e+00  9.993885e-02  1.768235e-01
 1.889362e+00  1.899481e+00  1.011947e-02  2.259504e-01
 7.285884e-01  7.018128e-01 -2.677566e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.536133e-01  1.342086e-01  2.613876e-01
 7.998387e-01  1.040769e+00  2.409302e-01  2.613876e-01
 2.084374e+00  2.307354e+00  2.229806e-01  2.152171e-01
 3.447223e+00  3.414552e+00 -3.267127e-02  1.607617e-01
 4.484344e+00  4.157389e+00 -3.269549e-01  1.372874e-01
 5.032698e+00  4.499125e+00 -5.335730e-01  1.282354e-01
 5.210998e+00  4.577639e+00 -6.333593e-01  1.256423e-01
 5.236732e+00  4.579556e+00 -6.571765e-01  1.252804e-01
