#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.577674e+00 -6.333240e-01  1.256423e-01
 5.032699e+00  4.499211e+00 -5.334888e-01  1.282354e-01
 4.484341e+00  4.157994e+00 -3.263472e-01  1.372875e-01
 3.447222e+00  3.414584e+00 -3.263820e-02  1.607618e-01
 2.084373e+00  2.307187e+00  2.228136e-01  2.152172e-01
 7.998389e-01  1.040540e+00  2.407012e-01  2.613876e-01
 1.940412e-02  1.534183e-01  1.340142e-01  2.613876e-01
 2.921057e-05 -2.174209e-02 -2.177130e-02  2.613876e-01
 7.285975e-01  7.030060e-01 -2.559156e-02  2.613876e-01
 1.889364e+00  1.900245e+00  1.088099e-02  2.259503e-01
 2.942955e+00  3.042810e+00  9.985444e-02  1.768235e-01
 3.366410e+00  3.518391e+00  1.519810e-01  1.630800e-01
 2.942955e+00  3.042880e+00  9.992476e-02  1.768235e-01
 1.889362e+00  1.899488e+00  1.012603e-02  2.259504e-01
 7.285884e-01  7.018253e-01 -2.676311e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.536004e-01  1.341957e-01  2.613876e-01
 7.998387e-01  1.040766e+00  2.409278e-01  2.613876e-01
 2.084374e+00  2.307391e+00  2.230172e-01  2.152171e-01
 3.447223e+00  3.414625e+00 -3.259842e-02  1.607617e-01
 4.484344e+00  4.157451e+00 -3.268927e-01  1.372874e-01
 5.032698e+00  4.499127e+00 -5.335712e-01  1.282354e-01
 5.210998e+00  4.577573e+00 -6.334251e-01  1.256423e-01
 5.236732e+00  4.579461e+00 -6.572710e-01  1.252804e-01
