#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.577659e+00 -6.333387e-01  1.256423e-01
 5.032699e+00  4.501485e+00 -5.312150e-01  1.282354e-01
 4.484341e+00  4.161637e+00 -3.227040e-01  1.372875e-01
 3.447222e+00  3.416958e+00 -3.026385e-02  1.607618e-01
 2.084373e+00  2.306494e+00  2.221210e-01  2.152172e-01
 7.998389e-01  1.037776e+00  2.379373e-01  2.613876e-01
 1.940412e-02  1.511557e-01  1.317516e-01  2.613876e-01
 2.921057e-05 -2.174269e-02 -2.177190e-02  2.613876e-01
 7.285977e-01  6.747301e-01 -5.386757e-02  2.613876e-01
 1.889364e+00  1.902811e+00  1.344700e-02  2.259503e-01
 2.942955e+00  3.044500e+00  1.015446e-01  1.768235e-01
 3.366410e+00  3.519456e+00  1.530464e-01  1.630800e-01
 2.942955e+00  3.044570e+00  1.016149e-01  1.768235e-01
 1.889362e+00  1.902054e+00  1.269201e-02  2.259504e-01
 7.285884e-01  7.039044e-01 -2.468406e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.513378e-01  1.319331e-01  2.613876e-01
 7.998387e-01  1.038003e+00  2.381639e-01  2.613876e-01
 2.084374e+00  2.306698e+00  2.223246e-01  2.152171e-01
 3.447223e+00  3.416999e+00 -3.022402e-02  1.607617e-01
 4.484344e+00  4.161093e+00 -3.232505e-01  1.372874e-01
 5.032698e+00  4.501401e+00 -5.312974e-01  1.282354e-01
 5.210998e+00  4.577557e+00 -6.334404e-01  1.256423e-01
 5.236732e+00  4.578388e+00 -6.583441e-01  1.252804e-01
