#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.612876e+00 -5.981221e-01  1.256423e-01
 5.032699e+00  4.564337e+00 -4.683622e-01  1.282354e-01
 4.484341e+00  4.213597e+00 -2.707439e-01  1.372875e-01
 3.447222e+00  3.425076e+00 -2.214579e-02  1.607618e-01
 2.084373e+00  2.285265e+00  2.008914e-01  2.152172e-01
 7.998389e-01  1.017206e+00  2.173676e-01  2.613876e-01
 1.940412e-02  1.424509e-01  1.230468e-01  2.613876e-01
 2.921057e-05 -2.191187e-02 -2.194109e-02  2.613876e-01
 7.285977e-01  6.763227e-01 -5.227498e-02  2.613876e-01
 1.889364e+00  1.892415e+00  3.050777e-03  2.259503e-01
 2.942955e+00  3.007497e+00  6.454214e-02  1.768235e-01
 3.366410e+00  3.466616e+00  1.002065e-01  1.630800e-01
 2.942955e+00  3.007569e+00  6.461333e-02  1.768235e-01
 1.889362e+00  1.891664e+00  2.302290e-03  2.259504e-01
 7.285884e-01  7.054869e-01 -2.310151e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.426337e-01  1.232291e-01  2.613876e-01
 7.998387e-01  1.017434e+00  2.175953e-01  2.613876e-01
 2.084374e+00  2.285470e+00  2.010960e-01  2.152171e-01
 3.447223e+00  3.425121e+00 -2.210163e-02  1.607617e-01
 4.484344e+00  4.213055e+00 -2.712894e-01  1.372874e-01
 5.032698e+00  4.564249e+00 -4.684499e-01  1.282354e-01
 5.210998e+00  4.612764e+00 -5.982334e-01  1.256423e-01
 5.236732e+00  4.594650e+00 -6.420823e-01  1.252804e-01
