#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 2.905659e-01  5.381851e-02 -2.367474e-01  2.194902e-01
 1.055887e+00  2.481647e-01 -8.077227e-01  2.193192e-01
 2.010991e+00  6.498046e-01 -1.361186e+00  1.840621e-01
 2.704998e+00  1.197722e+00 -1.507277e+00  1.561183e-01
 1.906900e+00  5.006481e-01 -1.406252e+00  1.889079e-01
 9.622379e-01  6.637081e-02 -8.958671e-01  2.194902e-01
 2.382272e-01 -1.766186e-01 -4.148458e-01  2.194902e-01
 2.398730e-03 -2.470654e-01 -2.494642e-01  2.194902e-01
 3.383363e-01 -1.770002e-01 -5.153366e-01  2.194902e-01
 1.118932e+00  9.156198e-02 -1.027370e+00  2.187208e-01
 2.047914e+00  6.013546e-01 -1.446560e+00  1.823717e-01
 2.761388e+00  1.303064e+00 -1.458324e+00  1.542245e-01
 2.047613e+00  5.852594e-01 -1.462354e+00  1.823854e-01
 1.118932e+00  9.155628e-02 -1.027376e+00  2.187208e-01
 3.383379e-01 -1.769980e-01 -5.153359e-01  2.194902e-01
 2.398718e-03 -2.470661e-01 -2.494648e-01  2.194902e-01
 2.382271e-01 -1.766189e-01 -4.148460e-01  2.194902e-01
 9.622379e-01  6.636684e-02 -8.958711e-01  2.194902e-01
 1.906900e+00  5.006483e-01 -1.406252e+00  1.889079e-01
 2.704985e+00  1.197714e+00 -1.507271e+00  1.561187e-01
 2.010991e+00  6.498050e-01 -1.361186e+00  1.840621e-01
 1.055887e+00  2.481680e-01 -8.077189e-01  2.193192e-01
 2.905643e-01  5.381630e-02 -2.367480e-01  2.194902e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.194902e-01
