#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 7.104139e+00  7.373797e+00  2.696587e-01  1.687603e-01
 8.202624e+00  8.332527e+00  1.299031e-01  1.556466e-01
 9.855332e+00  9.999424e+00  1.440927e-01  1.405982e-01
 1.159126e+01  1.185802e+01  2.667564e-01  0.000000e+00
 1.278368e+01  1.318392e+01  4.002442e-01  0.000000e+00
 1.279677e+01  1.321596e+01  4.191920e-01  0.000000e+00
 1.133485e+01  1.161552e+01  2.806642e-01  0.000000e+00
 8.703144e+00  8.825748e+00  1.226046e-01  1.505946e-01
 5.591281e+00  5.620619e+00  2.933732e-02  1.936239e-01
 2.727445e+00  2.709969e+00 -1.747553e-02  2.970820e-01
 7.216445e-01  7.124996e-01 -9.144936e-03  4.197184e-01
 0.000000e+00  0.000000e+00  0.000000e+00  4.197184e-01
 7.216463e-01  7.124577e-01 -9.188658e-03  4.197184e-01
 2.727448e+00  2.709952e+00 -1.749560e-02  2.970818e-01
 5.591291e+00  5.620584e+00  2.929351e-02  1.936237e-01
 8.703141e+00  8.825707e+00  1.225663e-01  1.505947e-01
 1.133485e+01  1.161558e+01  2.807238e-01  0.000000e+00
 1.279677e+01  1.321598e+01  4.192104e-01  0.000000e+00
 1.278368e+01  1.318395e+01  4.002748e-01  0.000000e+00
 1.159127e+01  1.185825e+01  2.669881e-01  0.000000e+00
 9.855331e+00  9.999456e+00  1.441249e-01  1.405982e-01
 8.202624e+00  8.332506e+00  1.298820e-01  1.556466e-01
 7.104138e+00  7.373840e+00  2.697018e-01  1.687603e-01
 6.844752e+00  7.384718e+00  5.399660e-01  1.723623e-01
