#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.357564e+00 -8.534335e-01  1.256423e-01
 5.032699e+00  4.469668e+00 -5.630319e-01  1.282354e-01
 4.484341e+00  4.283321e+00 -2.010198e-01  1.372875e-01
 3.447222e+00  3.578493e+00  1.312708e-01  1.607618e-01
 2.084373e+00  2.430137e+00  3.457635e-01  2.152172e-01
 7.998389e-01  1.110148e+00  3.103090e-01  2.613876e-01
 1.940412e-02  1.832362e-01  1.638321e-01  2.613876e-01
 2.921057e-05 -2.191005e-02 -2.193926e-02  2.613876e-01
 7.285975e-01  6.682868e-01 -6.031072e-02  2.613876e-01
 1.889364e+00  1.805358e+00 -8.400532e-02  2.259503e-01
 2.942955e+00  2.866517e+00 -7.643782e-02  1.768235e-01
 3.366410e+00  3.299997e+00 -6.641312e-02  1.630800e-01
 2.942955e+00  2.866589e+00 -7.636667e-02  1.768235e-01
 1.889362e+00  1.804607e+00 -8.475491e-02  2.259504e-01
 7.285884e-01  6.671049e-01 -6.148350e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.834189e-01  1.640142e-01  2.613876e-01
 7.998387e-01  1.110375e+00  3.105365e-01  2.613876e-01
 2.084374e+00  2.430342e+00  3.459679e-01  2.152171e-01
 3.447223e+00  3.578538e+00  1.313148e-01  1.607617e-01
 4.484344e+00  4.282781e+00 -2.015630e-01  1.372874e-01
 5.032698e+00  4.469580e+00 -5.631188e-01  1.282354e-01
 5.210998e+00  4.357454e+00 -8.535440e-01  1.256423e-01
 5.236732e+00  4.273644e+00 -9.630883e-01  1.252804e-01
