#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.578332e+00 -6.326663e-01  1.256423e-01
 5.032699e+00  4.499410e+00 -5.332894e-01  1.282354e-01
 4.484341e+00  4.157750e+00 -3.265911e-01  1.372875e-01
 3.447222e+00  3.414181e+00 -3.304141e-02  1.607618e-01
 2.084373e+00  2.306916e+00  2.225428e-01  2.152172e-01
 7.998389e-01  1.040461e+00  2.406223e-01  2.613876e-01
 1.940412e-02  1.534215e-01  1.340174e-01  2.613876e-01
 2.921057e-05 -2.174203e-02 -2.177124e-02  2.613876e-01
 7.285975e-01  7.030364e-01 -2.556111e-02  2.613876e-01
 1.889364e+00  1.900416e+00  1.105235e-02  2.259503e-01
 2.942955e+00  3.043180e+00  1.002244e-01  1.768235e-01
 3.366410e+00  3.518858e+00  1.524482e-01  1.630800e-01
 2.942955e+00  3.043250e+00  1.002947e-01  1.768235e-01
 1.889362e+00  1.899659e+00  1.029739e-02  2.259504e-01
 7.285884e-01  7.018558e-01 -2.673266e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.536036e-01  1.341989e-01  2.613876e-01
 7.998387e-01  1.040688e+00  2.408489e-01  2.613876e-01
 2.084374e+00  2.307120e+00  2.227464e-01  2.152171e-01
 3.447223e+00  3.414221e+00 -3.300163e-02  1.607617e-01
 4.484344e+00  4.157207e+00 -3.271366e-01  1.372874e-01
 5.032698e+00  4.499327e+00 -5.333719e-01  1.282354e-01
 5.210998e+00  4.578230e+00 -6.327674e-01  1.256423e-01
 5.236732e+00  4.580309e+00 -6.564230e-01  1.252804e-01
