#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.604133e+00 -6.068654e-01  1.256423e-01
 5.032699e+00  4.561287e+00 -4.714127e-01  1.282354e-01
 4.484341e+00  4.216224e+00 -2.681165e-01  1.372875e-01
 3.447222e+00  3.430429e+00 -1.679245e-02  1.607618e-01
 2.084373e+00  2.290128e+00  2.057552e-01  2.152172e-01
 7.998389e-01  1.020175e+00  2.203361e-01  2.613876e-01
 1.940412e-02  1.436759e-01  1.242718e-01  2.613876e-01
 2.921057e-05 -2.191183e-02 -2.194104e-02  2.613876e-01
 7.285977e-01  6.751738e-01 -5.342390e-02  2.613876e-01
 1.889364e+00  1.889617e+00  2.533964e-04  2.259503e-01
 2.942955e+00  3.002734e+00  5.977864e-02  1.768235e-01
 3.366410e+00  3.460895e+00  9.448504e-02  1.630800e-01
 2.942955e+00  3.002805e+00  5.984983e-02  1.768235e-01
 1.889362e+00  1.888867e+00 -4.951337e-04  2.259504e-01
 7.285884e-01  7.043376e-01 -2.425083e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.438587e-01  1.244540e-01  2.613876e-01
 7.998387e-01  1.020402e+00  2.205638e-01  2.613876e-01
 2.084374e+00  2.290333e+00  2.059597e-01  2.152171e-01
 3.447223e+00  3.430475e+00 -1.674830e-02  1.607617e-01
 4.484344e+00  4.215682e+00 -2.686619e-01  1.372874e-01
 5.032698e+00  4.561198e+00 -4.715004e-01  1.282354e-01
 5.210998e+00  4.604021e+00 -6.069767e-01  1.256423e-01
 5.236732e+00  4.583549e+00 -6.531830e-01  1.252804e-01
