#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  3.957493e+00 -1.253505e+00  1.256423e-01
 5.032699e+00  4.311894e+00 -7.208052e-01  1.282354e-01
 4.484341e+00  4.381725e+00 -1.026160e-01  1.372875e-01
 3.447222e+00  3.815595e+00  3.683730e-01  1.607618e-01
 2.084373e+00  2.659703e+00  5.753300e-01  2.152172e-01
 7.998389e-01  1.259234e+00  4.593955e-01  2.613876e-01
 1.940412e-02  2.503666e-01  2.309625e-01  2.613876e-01
 2.921057e-05 -2.189670e-02 -2.192591e-02  2.613876e-01
 7.285975e-01  5.992065e-01 -1.293910e-01  2.613876e-01
 1.889364e+00  1.655981e+00 -2.333828e-01  2.259503e-01
 2.942955e+00  2.643464e+00 -2.994910e-01  1.768235e-01
 3.366410e+00  3.045754e+00 -3.206562e-01  1.630800e-01
 2.942955e+00  2.643535e+00 -2.994199e-01  1.768235e-01
 1.889362e+00  1.655228e+00 -2.341335e-01  2.259504e-01
 7.285884e-01  5.980244e-01 -1.305640e-01  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  2.505492e-01  2.311446e-01  2.613876e-01
 7.998387e-01  1.259462e+00  4.596228e-01  2.613876e-01
 2.084374e+00  2.659908e+00  5.755343e-01  2.152171e-01
 3.447223e+00  3.815640e+00  3.684166e-01  1.607617e-01
 4.484344e+00  4.381185e+00 -1.031585e-01  1.372874e-01
 5.032698e+00  4.311807e+00 -7.208913e-01  1.282354e-01
 5.210998e+00  3.957383e+00 -1.253615e+00  1.256423e-01
 5.236732e+00  3.775778e+00 -1.460954e+00  1.252804e-01
