#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.578329e+00 -6.326687e-01  1.256423e-01
 5.032699e+00  4.501344e+00 -5.313554e-01  1.282354e-01
 4.484341e+00  4.161086e+00 -3.232549e-01  1.372875e-01
 3.447222e+00  3.416982e+00 -3.023943e-02  1.607618e-01
 2.084373e+00  2.307624e+00  2.232504e-01  2.152172e-01
 7.998389e-01  1.039410e+00  2.395709e-01  2.613876e-01
 1.940412e-02  1.522233e-01  1.328192e-01  2.613876e-01
 2.921057e-05 -2.174242e-02 -2.177163e-02  2.613876e-01
 7.285977e-01  6.741087e-01 -5.448902e-02  2.613876e-01
 1.889364e+00  1.902541e+00  1.317733e-02  2.259503e-01
 2.942955e+00  3.045179e+00  1.022236e-01  1.768235e-01
 3.366410e+00  3.520647e+00  1.542373e-01  1.630800e-01
 2.942955e+00  3.045249e+00  1.022939e-01  1.768235e-01
 1.889362e+00  1.901784e+00  1.242236e-02  2.259504e-01
 7.285884e-01  7.032831e-01 -2.530528e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.524054e-01  1.330007e-01  2.613876e-01
 7.998387e-01  1.039636e+00  2.397975e-01  2.613876e-01
 2.084374e+00  2.307828e+00  2.234540e-01  2.152171e-01
 3.447223e+00  3.417023e+00 -3.019961e-02  1.607617e-01
 4.484344e+00  4.160543e+00 -3.238014e-01  1.372874e-01
 5.032698e+00  4.501261e+00 -5.314379e-01  1.282354e-01
 5.210998e+00  4.578228e+00 -6.327703e-01  1.256423e-01
 5.236732e+00  4.579445e+00 -6.572875e-01  1.252804e-01
