#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 7.104139e+00  7.362824e+00  2.586856e-01  1.687603e-01
 8.202624e+00  8.321370e+00  1.187456e-01  1.556466e-01
 9.855332e+00  9.987034e+00  1.317026e-01  1.405982e-01
 1.159126e+01  1.184438e+01  2.531154e-01  0.000000e+00
 1.278368e+01  1.317255e+01  3.888734e-01  0.000000e+00
 1.279677e+01  1.321167e+01  4.148980e-01  0.000000e+00
 1.133485e+01  1.161713e+01  2.822752e-01  0.000000e+00
 8.703144e+00  8.827767e+00  1.246231e-01  1.505946e-01
 5.591281e+00  5.620598e+00  2.931641e-02  1.936239e-01
 2.727445e+00  2.708996e+00 -1.844916e-02  2.970820e-01
 7.216445e-01  7.120390e-01 -9.605533e-03  4.197184e-01
 0.000000e+00  0.000000e+00  0.000000e+00  4.197184e-01
 7.216463e-01  7.119973e-01 -9.649004e-03  4.197184e-01
 2.727448e+00  2.708978e+00 -1.846950e-02  2.970818e-01
 5.591291e+00  5.620563e+00  2.927233e-02  1.936237e-01
 8.703141e+00  8.827725e+00  1.245846e-01  1.505947e-01
 1.133485e+01  1.161719e+01  2.823345e-01  0.000000e+00
 1.279677e+01  1.321169e+01  4.149166e-01  0.000000e+00
 1.278368e+01  1.317258e+01  3.889038e-01  0.000000e+00
 1.159127e+01  1.184461e+01  2.533473e-01  0.000000e+00
 9.855331e+00  9.987067e+00  1.317352e-01  1.405982e-01
 8.202624e+00  8.321348e+00  1.187244e-01  1.556466e-01
 7.104138e+00  7.362867e+00  2.587284e-01  1.687603e-01
 6.844752e+00  7.373583e+00  5.288307e-01  1.723623e-01
