#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.614216e+00 -5.967818e-01  1.256423e-01
 5.032699e+00  4.545618e+00 -4.870812e-01  1.282354e-01
 4.484341e+00  4.192228e+00 -2.921124e-01  1.372875e-01
 3.447222e+00  3.424068e+00 -2.315399e-02  1.607618e-01
 2.084373e+00  2.307583e+00  2.232092e-01  2.152172e-01
 7.998389e-01  1.046829e+00  2.469904e-01  2.613876e-01
 1.940412e-02  1.612875e-01  1.418834e-01  2.613876e-01
 2.921057e-05 -2.187404e-02 -2.190325e-02  2.613876e-01
 7.285975e-01  6.942795e-01 -3.431803e-02  2.613876e-01
 1.889364e+00  1.886315e+00 -3.049215e-03  2.259503e-01
 2.942955e+00  3.023462e+00  8.050718e-02  1.768235e-01
 3.366410e+00  3.495660e+00  1.292501e-01  1.630800e-01
 2.942955e+00  3.023533e+00  8.057818e-02  1.768235e-01
 1.889362e+00  1.885563e+00 -3.798778e-03  2.259504e-01
 7.285884e-01  6.930986e-01 -3.548982e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.614702e-01  1.420655e-01  2.613876e-01
 7.998387e-01  1.047057e+00  2.472180e-01  2.613876e-01
 2.084374e+00  2.307787e+00  2.234136e-01  2.152171e-01
 3.447223e+00  3.424112e+00 -2.311082e-02  1.607617e-01
 4.484344e+00  4.191686e+00 -2.926576e-01  1.372874e-01
 5.032698e+00  4.545530e+00 -4.871680e-01  1.282354e-01
 5.210998e+00  4.614107e+00 -5.968905e-01  1.256423e-01
 5.236732e+00  4.607406e+00 -6.293256e-01  1.252804e-01
