#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 2.738919e-01  4.809191e-01  2.070272e-01  2.048998e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.048998e-01
 1.934436e-01 -1.185127e-01 -3.119563e-01  2.048998e-01
 6.942841e-01  1.233675e-01 -5.709166e-01  2.048998e-01
 1.197651e+00  4.453898e-01 -7.522616e-01  2.029461e-01
 1.379835e+00  5.866161e-01 -7.932189e-01  1.981112e-01
 1.105256e+00  4.277693e-01 -6.774871e-01  2.043362e-01
 5.521886e-01  8.164286e-02 -4.705457e-01  2.048998e-01
 9.818601e-02 -1.373057e-01 -2.354917e-01  2.048998e-01
 2.403970e-02  2.035380e-02 -3.685895e-03  2.048998e-01
 3.811831e-01  5.352037e-01  1.540206e-01  2.048998e-01
 1.064845e+00  1.105590e+00  4.074527e-02  2.046850e-01
 3.809803e-01  5.352352e-01  1.542549e-01  2.048998e-01
 2.419661e-02  2.024981e-02 -3.946799e-03  2.048998e-01
 9.865580e-02 -1.422721e-01 -2.409278e-01  2.048998e-01
 5.521928e-01  8.161959e-02 -4.705732e-01  2.048998e-01
 1.105218e+00  4.277837e-01 -6.774340e-01  2.043366e-01
 1.379852e+00  5.867314e-01 -7.931208e-01  1.981106e-01
 1.197626e+00  4.465654e-01 -7.510604e-01  2.029466e-01
 6.945048e-01  1.201225e-01 -5.743823e-01  2.048998e-01
 1.931066e-01 -1.207035e-01 -3.138102e-01  2.048998e-01
 5.303836e-04 -3.197365e-03 -3.727749e-03  2.048998e-01
 2.736892e-01  4.802501e-01  2.065609e-01  2.048998e-01
 9.842299e-01  1.112401e+00  1.281714e-01  2.048998e-01
