#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.357647e+00 -8.533507e-01  1.256423e-01
 5.032699e+00  4.469603e+00 -5.630963e-01  1.282354e-01
 4.484341e+00  4.283155e+00 -2.011862e-01  1.372875e-01
 3.447222e+00  3.578375e+00  1.311528e-01  1.607618e-01
 2.084373e+00  2.430175e+00  3.458016e-01  2.152172e-01
 7.998389e-01  1.110296e+00  3.104568e-01  2.613876e-01
 1.940412e-02  1.833585e-01  1.639544e-01  2.613876e-01
 2.921057e-05 -2.191010e-02 -2.193931e-02  2.613876e-01
 7.285975e-01  6.681748e-01 -6.042269e-02  2.613876e-01
 1.889364e+00  1.805235e+00 -8.412875e-02  2.259503e-01
 2.942955e+00  2.866472e+00 -7.648307e-02  1.768235e-01
 3.366410e+00  3.300002e+00 -6.640744e-02  1.630800e-01
 2.942955e+00  2.866543e+00 -7.641192e-02  1.768235e-01
 1.889362e+00  1.804484e+00 -8.487833e-02  2.259504e-01
 7.285884e-01  6.669930e-01 -6.159547e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.835413e-01  1.641366e-01  2.613876e-01
 7.998387e-01  1.110523e+00  3.106843e-01  2.613876e-01
 2.084374e+00  2.430380e+00  3.460060e-01  2.152171e-01
 3.447223e+00  3.578420e+00  1.311967e-01  1.607617e-01
 4.484344e+00  4.282615e+00 -2.017294e-01  1.372874e-01
 5.032698e+00  4.469515e+00 -5.631832e-01  1.282354e-01
 5.210998e+00  4.357537e+00 -8.534612e-01  1.256423e-01
 5.236732e+00  4.273792e+00 -9.629399e-01  1.252804e-01
