#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 7.104137e+00  7.362113e+00  2.579760e-01  1.687603e-01
 8.202623e+00  8.320700e+00  1.180770e-01  1.556466e-01
 9.855330e+00  9.986410e+00  1.310802e-01  1.405982e-01
 1.159126e+01  1.184396e+01  2.526946e-01  0.000000e+00
 1.278368e+01  1.317212e+01  3.884432e-01  0.000000e+00
 1.279677e+01  1.321136e+01  4.145860e-01  0.000000e+00
 1.133485e+01  1.161690e+01  2.820454e-01  0.000000e+00
 8.703143e+00  8.827615e+00  1.244713e-01  1.505946e-01
 5.591278e+00  5.620528e+00  2.924998e-02  1.936239e-01
 2.727443e+00  2.708990e+00 -1.845382e-02  2.970821e-01
 7.216439e-01  7.120298e-01 -9.614029e-03  4.197183e-01
 0.000000e+00  0.000000e+00  0.000000e+00  4.197183e-01
 7.216457e-01  7.119873e-01 -9.658371e-03  4.197183e-01
 2.727446e+00  2.708972e+00 -1.847372e-02  2.970819e-01
 5.591287e+00  5.620496e+00  2.920843e-02  1.936237e-01
 8.703141e+00  8.827578e+00  1.244378e-01  1.505946e-01
 1.133485e+01  1.161692e+01  2.820749e-01  0.000000e+00
 1.279677e+01  1.321138e+01  4.146074e-01  0.000000e+00
 1.278368e+01  1.317215e+01  3.884710e-01  0.000000e+00
 1.159126e+01  1.184421e+01  2.529420e-01  0.000000e+00
 9.855330e+00  9.986442e+00  1.311116e-01  1.405982e-01
 8.202623e+00  8.320681e+00  1.180580e-01  1.556466e-01
 7.104137e+00  7.362173e+00  2.580365e-01  1.687603e-01
 6.844753e+00  7.372903e+00  5.281503e-01  1.723623e-01
