#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.603283e+00 -6.077147e-01  1.256423e-01
 5.032699e+00  4.534720e+00 -4.979796e-01  1.282354e-01
 4.484341e+00  4.186132e+00 -2.982091e-01  1.372875e-01
 3.447222e+00  3.423585e+00 -2.363710e-02  1.607618e-01
 2.084373e+00  2.307477e+00  2.231034e-01  2.152172e-01
 7.998389e-01  1.044088e+00  2.442490e-01  2.613876e-01
 1.940412e-02  1.583693e-01  1.389652e-01  2.613876e-01
 2.921057e-05 -2.184416e-02 -2.187337e-02  2.613876e-01
 7.285975e-01  6.970100e-01 -3.158752e-02  2.613876e-01
 1.889364e+00  1.889666e+00  3.019204e-04  2.259503e-01
 2.942955e+00  3.026670e+00  8.371523e-02  1.768235e-01
 3.366410e+00  3.498924e+00  1.325142e-01  1.630800e-01
 2.942955e+00  3.026741e+00  8.378608e-02  1.768235e-01
 1.889362e+00  1.888913e+00 -4.488938e-04  2.259504e-01
 7.285884e-01  6.958292e-01 -3.275927e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.585519e-01  1.391472e-01  2.613876e-01
 7.998387e-01  1.044315e+00  2.444763e-01  2.613876e-01
 2.084374e+00  2.307681e+00  2.233077e-01  2.152171e-01
 3.447223e+00  3.423628e+00 -2.359470e-02  1.607617e-01
 4.484344e+00  4.185590e+00 -2.987543e-01  1.372874e-01
 5.032698e+00  4.534633e+00 -4.980654e-01  1.282354e-01
 5.210998e+00  4.603176e+00 -6.078216e-01  1.256423e-01
 5.236732e+00  4.597508e+00 -6.392243e-01  1.252804e-01
