#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.577749e+00 -6.332493e-01  1.256423e-01
 5.032699e+00  4.501424e+00 -5.312756e-01  1.282354e-01
 4.484341e+00  4.161473e+00 -3.228677e-01  1.372875e-01
 3.447222e+00  3.416843e+00 -3.037909e-02  1.607618e-01
 2.084373e+00  2.306535e+00  2.221613e-01  2.152172e-01
 7.998389e-01  1.037922e+00  2.380830e-01  2.613876e-01
 1.940412e-02  1.512710e-01  1.318669e-01  2.613876e-01
 2.921057e-05 -2.174265e-02 -2.177186e-02  2.613876e-01
 7.285977e-01  6.746412e-01 -5.395651e-02  2.613876e-01
 1.889364e+00  1.902733e+00  1.336927e-02  2.259503e-01
 2.942955e+00  3.044506e+00  1.015511e-01  1.768235e-01
 3.366410e+00  3.519512e+00  1.531024e-01  1.630800e-01
 2.942955e+00  3.044577e+00  1.016214e-01  1.768235e-01
 1.889362e+00  1.901976e+00  1.261429e-02  2.259504e-01
 7.285884e-01  7.038155e-01 -2.477297e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.514531e-01  1.320484e-01  2.613876e-01
 7.998387e-01  1.038148e+00  2.383096e-01  2.613876e-01
 2.084374e+00  2.306739e+00  2.223649e-01  2.152171e-01
 3.447223e+00  3.416884e+00 -3.033927e-02  1.607617e-01
 4.484344e+00  4.160930e+00 -3.234142e-01  1.372874e-01
 5.032698e+00  4.501340e+00 -5.313580e-01  1.282354e-01
 5.210998e+00  4.577647e+00 -6.333510e-01  1.256423e-01
 5.236732e+00  4.578545e+00 -6.581869e-01  1.252804e-01
