#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.589385e+00 -6.216133e-01  1.256423e-01
 5.032699e+00  4.517582e+00 -5.151177e-01  1.282354e-01
 4.484341e+00  4.174420e+00 -3.099209e-01  1.372875e-01
 3.447222e+00  3.421362e+00 -2.585959e-02  1.607618e-01
 2.084373e+00  2.307597e+00  2.232235e-01  2.152172e-01
 7.998389e-01  1.040801e+00  2.409617e-01  2.613876e-01
 1.940412e-02  1.544128e-01  1.350087e-01  2.613876e-01
 2.921057e-05 -2.179140e-02 -2.182061e-02  2.613876e-01
 7.285977e-01  6.711437e-01 -5.745401e-02  2.613876e-01
 1.889364e+00  1.896903e+00  7.538924e-03  2.259503e-01
 2.942955e+00  3.036358e+00  9.340305e-02  1.768235e-01
 3.366410e+00  3.510035e+00  1.436251e-01  1.630800e-01
 2.942955e+00  3.036429e+00  9.347362e-02  1.768235e-01
 1.889362e+00  1.896148e+00  6.785940e-03  2.259504e-01
 7.285884e-01  7.003164e-01 -2.827201e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.545951e-01  1.351904e-01  2.613876e-01
 7.998387e-01  1.041027e+00  2.411887e-01  2.613876e-01
 2.084374e+00  2.307801e+00  2.234274e-01  2.152171e-01
 3.447223e+00  3.421404e+00 -2.581852e-02  1.607617e-01
 4.484344e+00  4.173877e+00 -3.104673e-01  1.372874e-01
 5.032698e+00  4.517497e+00 -5.152017e-01  1.282354e-01
 5.210998e+00  4.589280e+00 -6.217178e-01  1.256423e-01
 5.236732e+00  4.586764e+00 -6.499680e-01  1.252804e-01
