#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.587345e+00 -6.236533e-01  1.256423e-01
 5.032699e+00  4.546366e+00 -4.863332e-01  1.282354e-01
 4.484341e+00  4.208987e+00 -2.753540e-01  1.372875e-01
 3.447222e+00  3.432149e+00 -1.507256e-02  1.607618e-01
 2.084373e+00  2.295182e+00  2.108086e-01  2.152172e-01
 7.998389e-01  1.023709e+00  2.238702e-01  2.613876e-01
 1.940412e-02  1.451296e-01  1.257255e-01  2.613876e-01
 2.921057e-05 -2.188872e-02 -2.191793e-02  2.613876e-01
 7.285977e-01  6.731967e-01 -5.540100e-02  2.613876e-01
 1.889364e+00  1.885511e+00 -3.852340e-03  2.259503e-01
 2.942955e+00  2.998240e+00  5.528492e-02  1.768235e-01
 3.366410e+00  3.456858e+00  9.044843e-02  1.630800e-01
 2.942955e+00  2.998311e+00  5.535598e-02  1.768235e-01
 1.889362e+00  1.884760e+00 -4.601804e-03  2.259504e-01
 7.285884e-01  7.023614e-01 -2.622702e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.453123e-01  1.259076e-01  2.613876e-01
 7.998387e-01  1.023936e+00  2.240978e-01  2.613876e-01
 2.084374e+00  2.295387e+00  2.110130e-01  2.152171e-01
 3.447223e+00  3.432194e+00 -1.502900e-02  1.607617e-01
 4.484344e+00  4.208444e+00 -2.758996e-01  1.372874e-01
 5.032698e+00  4.546278e+00 -4.864201e-01  1.282354e-01
 5.210998e+00  4.587235e+00 -6.237633e-01  1.256423e-01
 5.236732e+00  4.567186e+00 -6.695460e-01  1.252804e-01
