#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.577649e+00 -6.333487e-01  1.256423e-01
 5.032699e+00  4.501465e+00 -5.312343e-01  1.282354e-01
 4.484341e+00  4.161604e+00 -3.227363e-01  1.372875e-01
 3.447222e+00  3.416915e+00 -3.030669e-02  1.607618e-01
 2.084373e+00  2.306451e+00  2.220777e-01  2.152172e-01
 7.998389e-01  1.037745e+00  2.379062e-01  2.613876e-01
 1.940412e-02  1.511428e-01  1.317387e-01  2.613876e-01
 2.921057e-05 -2.174269e-02 -2.177190e-02  2.613876e-01
 7.285977e-01  6.747282e-01 -5.386949e-02  2.613876e-01
 1.889364e+00  1.902792e+00  1.342789e-02  2.259503e-01
 2.942955e+00  3.044459e+00  1.015038e-01  1.768235e-01
 3.366410e+00  3.519406e+00  1.529958e-01  1.630800e-01
 2.942955e+00  3.044529e+00  1.015742e-01  1.768235e-01
 1.889362e+00  1.902035e+00  1.267291e-02  2.259504e-01
 7.285884e-01  7.039024e-01 -2.468598e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.513249e-01  1.319202e-01  2.613876e-01
 7.998387e-01  1.037971e+00  2.381328e-01  2.613876e-01
 2.084374e+00  2.306655e+00  2.222813e-01  2.152171e-01
 3.447223e+00  3.416956e+00 -3.026687e-02  1.607617e-01
 4.484344e+00  4.161061e+00 -3.232828e-01  1.372874e-01
 5.032698e+00  4.501382e+00 -5.313167e-01  1.282354e-01
 5.210998e+00  4.577547e+00 -6.334504e-01  1.256423e-01
 5.236732e+00  4.578381e+00 -6.583508e-01  1.252804e-01
